ts,close,fast,slow,highN,lowN,highN_prev,lowN_prev,signal,pos,ret,equity
2025-06-01 20:00:00+00:00,2524.38,2.648903364224225,-1.9406457320330426,2540.040200104599,2481.6267998954004,2540.040200104599,2481.6267998954004,HOLD,0.0,-0.0,1.0
2025-06-01 21:00:00+00:00,2538.05,4.707752830343452,-0.6109660195577438,2543.8361069164807,2480.9948930835194,2543.8361069164807,2480.9948930835194,HOLD,0.0,0.0,1.0
2025-06-01 22:00:00+00:00,2534.21,5.777924969158448,0.6668121781854948,2546.4766683150333,2481.176331684967,2546.4766683150333,2481.176331684967,HOLD,0.0,-0.0,1.0
2025-06-01 23:00:00+00:00,2538.13,6.989078131486622,1.9312653688457204,2549.4346766896306,2480.8283233103703,2549.4346766896306,2480.8283233103703,HOLD,0.0,0.0,1.0
2025-06-02 00:00:00+00:00,2533.48,7.288651922811368,3.00274267963885,2550.9208203279295,2480.60817967207,2550.9208203279295,2480.60817967207,HOLD,0.0,-0.0,1.0
2025-06-02 01:00:00+00:00,2525.38,6.482300461944305,3.6986542360999413,2551.5748906164454,2480.7691093835547,2551.5748906164454,2480.7691093835547,HOLD,0.0,-0.0,1.0
2025-06-02 02:00:00+00:00,2507.74,3.7198754380906394,3.7028984764980812,2551.530503767677,2480.465496232323,2551.530503767677,2480.465496232323,HOLD,0.0,-0.0,1.0
2025-06-02 03:00:00+00:00,2495.1,0.07919381645388057,2.978157544489241,2551.898335262513,2478.824664737487,2551.898335262513,2478.824664737487,HOLD,0.0,-0.0,1.0
2025-06-02 04:00:00+00:00,2491.43,-3.138796443114643,1.7547667469684642,2552.4471160347084,2476.9458839652916,2552.4471160347084,2476.9458839652916,HOLD,0.0,-0.0,1.0
2025-06-02 05:00:00+00:00,2491.68,-5.535688736296834,0.29667565031540466,2552.4186059576787,2477.013394042321,2552.4186059576787,2477.013394042321,HOLD,0.0,0.0,1.0
2025-06-02 06:00:00+00:00,2493.54,-7.0871436734678355,-1.1800882144412435,2552.3601095107315,2477.1618904892684,2552.3601095107315,2477.1618904892684,HOLD,0.0,0.0,1.0
2025-06-02 07:00:00+00:00,2505.5,-6.788554711320103,-2.3017815138170152,2552.1140000915043,2478.346999908496,2552.1140000915043,2478.346999908496,HOLD,0.0,0.0,1.0
2025-06-02 08:00:00+00:00,2493.36,-7.904431726083658,-3.422311556270344,2551.111518311636,2480.3504816883647,2551.111518311636,2480.3504816883647,HOLD,0.0,-0.0,1.0
2025-06-02 09:00:00+00:00,2480.72,-10.148496752326992,-4.767548595481674,2552.4187250428927,2477.8282749571076,2552.4187250428927,2477.8282749571076,HOLD,0.0,-0.0,1.0
2025-06-02 10:00:00+00:00,2481.01,-11.713033364761031,-6.156645549337545,2553.8496433344903,2473.687356665509,2553.8496433344903,2473.687356665509,HOLD,0.0,0.0,1.0
2025-06-02 11:00:00+00:00,2480.19,-12.86931466208216,-7.499179371886469,2554.120749987482,2469.2402500125177,2554.120749987482,2469.2402500125177,HOLD,0.0,-0.0,1.0
2025-06-02 12:00:00+00:00,2496.9,-11.64325061502177,-8.32799362051353,2550.838193416732,2468.4718065832676,2550.838193416732,2468.4718065832676,HOLD,0.0,0.0,1.0
2025-06-02 13:00:00+00:00,2503.63,-9.77880569202216,-8.618156034815255,2547.1007189493166,2468.791281050683,2547.1007189493166,2468.791281050683,HOLD,0.0,0.0,1.0
2025-06-02 14:00:00+00:00,2530.06,-5.136766549292133,-7.921878137710632,2548.529271867132,2468.434728132868,2548.529271867132,2468.434728132868,HOLD,0.0,0.0,1.0
2025-06-02 15:00:00+00:00,2542.94,-0.012663081697610323,-6.3400351265080275,2551.591465075779,2467.1515349242213,2551.591465075779,2467.1515349242213,HOLD,0.0,0.0,1.0
2025-06-02 16:00:00+00:00,2545.12,4.165171690645366,-4.2389937630773495,2555.0040604404744,2465.8129395595256,2555.0040604404744,2465.8129395595256,HOLD,0.0,0.0,1.0
2025-06-02 17:00:00+00:00,2548.61,7.7233951182665805,-1.8465159868085639,2557.0527584236843,2464.820241576316,2557.0527584236843,2464.820241576316,HOLD,0.0,0.0,1.0
2025-06-02 18:00:00+00:00,2543.41,9.746277036554602,0.4720426178640693,2558.602827658482,2464.1901723415176,2558.602827658482,2464.1901723415176,HOLD,0.0,-0.0,1.0
2025-06-02 19:00:00+00:00,2531.15,9.742133554228985,2.3260608051370526,2557.5561477442634,2464.538852255736,2557.5561477442634,2464.538852255736,BUY,1.0,-0.0,1.0
2025-06-02 20:00:00+00:00,2538.68,10.507969380902978,3.962442520290238,2558.3697089898037,2464.245291010196,2558.3697089898037,2464.245291010196,BUY,1.0,0.05949864686011885,1.0594986468601189
2025-06-02 21:00:00+00:00,2559.0,13.354454053156587,5.840844826863508,2564.1632626374562,2461.8137373625436,2564.1632626374562,2461.8137373625436,BUY,1.0,0.16008319284037675,1.2291065730595454
2025-06-02 22:00:00+00:00,2583.39,18.23748831487319,8.320173524465446,2576.330986534585,2457.2110134654145,2576.330986534585,2457.2110134654145,SELL,0.7,0.19062133645955548,1.4634005106673802
2025-06-02 23:00:00+00:00,2606.63,24.48711291618929,11.553561402810216,2592.6611125867535,2452.033887413247,2592.6611125867535,2452.033887413247,BUY,0.7,0.1259430438300062,1.6477056253232156
2025-06-03 00:00:00+00:00,2620.98,30.666595524044624,15.376168227057097,2609.6375469218733,2448.0124530781263,2609.6375469218733,2448.0124530781263,BUY,0.7,0.07707269539597084,1.7746987390859794
2025-06-03 01:00:00+00:00,2644.55,37.801430065258955,19.861220594697468,2629.7395045566145,2443.1974954433854,2629.7395045566145,2443.1974954433854,SELL,0.39999999999999997,0.12589947271631274,1.9981323745672093
2025-06-03 02:00:00+00:00,2615.01,39.3538819567425,23.759752867106474,2639.583810082047,2445.500189917954,2639.583810082047,2445.500189917954,BUY,0.39999999999999997,-0.08936113894613394,1.8195769898107403
2025-06-03 03:00:00+00:00,2602.6,38.624774671845444,26.73275722805427,2646.2392962299036,2448.5547037700962,2646.2392962299036,2448.5547037700962,SELL,0.0,-0.03796543799067819,1.7504959524348158
2025-06-03 04:00:00+00:00,2591.29,36.286956196638585,28.643597021771132,2649.6342226755587,2454.9527773244417,2649.6342226755587,2454.9527773244417,BUY,1.0,-0.0,1.7504959524348158
2025-06-03 05:00:00+00:00,2613.77,36.708896235302745,30.256656864477456,2653.9697449062073,2463.9222550937925,2653.9697449062073,2463.9222550937925,BUY,1.0,0.17350431638296193,2.0542145559931604
2025-06-03 06:00:00+00:00,2617.3,37.01532076653484,31.608389644888934,2656.9196811009733,2474.6013188990273,2656.9196811009733,2474.6013188990273,BUY,1.0,0.027010792839461395,2.1097005198128977
2025-06-03 07:00:00+00:00,2608.86,35.8256302081345,32.45183775753805,2656.1671379430354,2488.2208620569654,2656.1671379430354,2488.2208620569654,BUY,1.0,-0.0644939441409087,1.9736376123340387
2025-06-03 08:00:00+00:00,2605.81,34.13703268152176,32.78887674233479,2655.2606557437794,2500.018344256221,2655.2606557437794,2500.018344256221,BUY,1.0,-0.02338186027613709,1.9274902934467153
2025-06-03 09:00:00+00:00,2612.76,33.259401933216395,32.882981780511116,2654.2097042770247,2511.9822957229762,2654.2097042770247,2511.9822957229762,HOLD,1.0,0.053342338850495,2.03030713381079
2025-06-03 10:00:00+00:00,2610.0,31.873773683830223,32.68114016117494,2654.7351206350013,2519.4508793649984,2654.7351206350013,2519.4508793649984,SELL,0.0,-0.02112708400312524,1.987412664442625
2025-06-03 11:00:00+00:00,2600.34,29.306195772319825,32.006151283403916,2654.675502686885,2525.2504973131154,2654.675502686885,2525.2504973131154,HOLD,0.0,-0.0,1.987412664442625
2025-06-03 12:00:00+00:00,2608.19,27.918035602251166,31.188528147173365,2654.859479609022,2531.3735203909782,2654.859479609022,2531.3735203909782,HOLD,0.0,0.0,1.987412664442625
2025-06-03 13:00:00+00:00,2625.05,28.505771828652996,30.651976883469292,2656.617212879888,2537.2597871201124,2656.617212879888,2537.2597871201124,HOLD,0.0,0.0,1.987412664442625
2025-06-03 14:00:00+00:00,2646.86,31.179601939433724,30.757501894662177,2660.2479152604446,2543.974084739555,2660.2479152604446,2543.974084739555,BUY,1.0,0.0,1.987412664442625
2025-06-03 15:00:00+00:00,2622.51,30.004092412032605,30.606819998136267,2655.387988451827,2557.9700115481733,2655.387988451827,2557.9700115481733,SELL,0.0,-0.18399159759110661,1.6217454332390286
2025-06-03 16:00:00+00:00,2604.47,26.636279050449048,29.812711808598824,2647.4583046273947,2572.478695372605,2647.4583046273947,2572.478695372605,HOLD,0.0,-0.0,1.6217454332390286
2025-06-03 17:00:00+00:00,2617.96,25.328524201254822,28.915874287130027,2642.309319718432,2583.5236802815684,2642.309319718432,2583.5236802815684,HOLD,0.0,0.0,1.6217454332390286
2025-06-03 18:00:00+00:00,2617.34,23.95773794775141,27.924247019254306,2640.728410887483,2588.499589112518,2640.728410887483,2588.499589112518,HOLD,0.0,-0.0,1.6217454332390286
2025-06-03 19:00:00+00:00,2624.0,23.40874626459754,27.021146868322955,2641.6323725618363,2589.332627438164,2641.6323725618363,2589.332627438164,HOLD,0.0,0.0,1.6217454332390286
2025-06-03 20:00:00+00:00,2613.89,21.528037131573,25.92252492097297,2641.1621288312144,2589.093871168786,2641.1621288312144,2589.093871168786,HOLD,0.0,-0.0,1.6217454332390286
2025-06-03 21:00:00+00:00,2587.97,16.795552579531886,24.097130452684752,2637.2016800967335,2587.3963199032664,2637.2016800967335,2587.3963199032664,HOLD,0.0,-0.0,1.6217454332390286
2025-06-03 22:00:00+00:00,2603.2,14.762823317359562,22.230269025619712,2636.8846230335457,2586.5323769664537,2636.8846230335457,2586.5323769664537,HOLD,0.0,0.0,1.6217454332390286
2025-06-03 23:00:00+00:00,2592.2,11.743487156960327,20.132912651887835,2637.4996940246015,2584.877305975398,2637.4996940246015,2584.877305975398,HOLD,0.0,-0.0,1.6217454332390286
2025-06-04 00:00:00+00:00,2597.99,9.973925026484721,18.101115126807212,2636.96912931036,2586.0778706896403,2636.96912931036,2586.0778706896403,HOLD,0.0,0.0,1.6217454332390286
2025-06-04 01:00:00+00:00,2611.26,10.059111489358202,16.49271439931741,2636.8228222019397,2585.9731777980605,2636.8228222019397,2585.9731777980605,HOLD,0.0,0.0,1.6217454332390286
2025-06-04 02:00:00+00:00,2611.1,9.987549087165917,15.191681336887113,2636.368194303055,2585.8078056969443,2636.368194303055,2585.8078056969443,HOLD,0.0,-0.0,1.6217454332390286
2025-06-04 03:00:00+00:00,2626.45,11.616206027574208,14.476586275024532,2638.0864501129013,2585.848549887098,2638.0864501129013,2585.848549887098,HOLD,0.0,0.0,1.6217454332390286
2025-06-04 04:00:00+00:00,2635.99,13.845574465510254,14.350383913121677,2641.4215240830144,2585.531475916985,2641.4215240830144,2585.531475916985,HOLD,0.0,0.0,1.6217454332390286
2025-06-04 05:00:00+00:00,2623.45,13.918544742457925,14.264016078988927,2642.287723218935,2585.734276781064,2642.287723218935,2585.734276781064,HOLD,0.0,-0.0,1.6217454332390286
2025-06-04 06:00:00+00:00,2628.49,14.402330851882198,14.291679033567583,2643.829529469776,2586.041470530224,2643.829529469776,2586.041470530224,HOLD,0.0,0.0,1.6217454332390286
2025-06-04 07:00:00+00:00,2626.6,14.381975576668083,14.309738342187684,2644.7542090948514,2587.742790905149,2644.7542090948514,2587.742790905149,HOLD,0.0,-0.0,1.6217454332390286
2025-06-04 08:00:00+00:00,2639.38,15.696812441367456,14.58715316202364,2647.755832375655,2587.860167624345,2647.755832375655,2587.860167624345,HOLD,0.0,0.0,1.6217454332390286
2025-06-04 09:00:00+00:00,2642.31,16.86275136195718,15.042272802010348,2650.3486557844853,2586.993344215515,2650.3486557844853,2586.993344215515,HOLD,0.0,0.0,1.6217454332390286
2025-06-04 10:00:00+00:00,2637.23,16.961458261740518,15.426109893956383,2648.39727812088,2587.98172187912,2648.39727812088,2587.98172187912,HOLD,0.0,-0.0,1.6217454332390286
2025-06-04 11:00:00+00:00,2623.69,15.249776935630052,15.390843302291117,2648.494387174959,2588.0026128250415,2648.494387174959,2588.0026128250415,HOLD,0.0,-0.0,1.6217454332390286
2025-06-04 12:00:00+00:00,2615.73,12.827055721972101,14.878085786227315,2648.42306819556,2589.1999318044395,2648.42306819556,2589.1999318044395,HOLD,0.0,-0.0,1.6217454332390286
2025-06-04 13:00:00+00:00,2613.75,10.589992790439737,14.0204671870698,2648.2935323271745,2588.908467672825,2648.2935323271745,2588.908467672825,HOLD,0.0,-0.0,1.6217454332390286
2025-06-04 14:00:00+00:00,2638.64,11.673179311578679,13.551009611971576,2650.603095144831,2588.7289048551684,2650.603095144831,2588.7289048551684,HOLD,0.0,0.0,1.6217454332390286
2025-06-04 15:00:00+00:00,2666.8,15.668542844631247,13.97451625850351,2658.945622184405,2584.6663778155944,2658.945622184405,2584.6663778155944,BUY,1.0,0.0,1.6217454332390286
2025-06-04 16:00:00+00:00,2658.74,17.597327920138923,14.699078590830593,2664.291856855516,2583.8051431444837,2664.291856855516,2583.8051431444837,BUY,1.0,-0.060446977651120726,1.523715823280222
2025-06-04 17:00:00+00:00,2634.28,15.997983618165108,14.958859596297497,2663.2243675510763,2589.503632448924,2663.2243675510763,2589.503632448924,SELL,0.0,-0.1839969308770284,1.2433567882678964
2025-06-04 18:00:00+00:00,2627.95,13.843670429638223,14.735821762965642,2662.8966833966115,2592.306316603388,2662.8966833966115,2592.306316603388,HOLD,0.0,-0.0,1.2433567882678964
2025-06-04 19:00:00+00:00,2622.51,11.394255696723121,14.06750854971714,2660.5986524979307,2597.6353475020696,2660.5986524979307,2597.6353475020696,HOLD,0.0,-0.0,1.2433567882678964
2025-06-04 20:00:00+00:00,2604.72,7.299023239016606,12.713811487577033,2659.7174424232944,2599.1895575767057,2659.7174424232944,2599.1895575767057,HOLD,0.0,-0.0,1.2433567882678964
2025-06-04 21:00:00+00:00,2617.92,5.627317185006177,11.296512627062862,2659.3815382834773,2600.191461716523,2659.3815382834773,2600.191461716523,HOLD,0.0,0.0,1.2433567882678964
2025-06-04 22:00:00+00:00,2604.47,2.7040780388574603,9.578025709421782,2660.012727336968,2598.8972726630327,2660.012727336968,2598.8972726630327,HOLD,0.0,-0.0,1.2433567882678964
