ts,close,fast,slow,highN,lowN,highN_prev,lowN_prev,signal,pos,ret,equity
2025-06-01 00:00:00+00:00,104437.6,0.0,0.0,,,,,HOLD,0.0,0.0,1.0
2025-06-01 00:15:00+00:00,104330.1,-12.609970674515353,-2.521994134903071,,,,,HOLD,0.0,-0.0,1.0
2025-06-01 00:30:00+00:00,104420.4,-11.52129754651105,-4.321854817224667,,,,,HOLD,0.0,0.0,1.0
2025-06-01 00:45:00+00:00,104412.3,-11.503031046217075,-5.758090063023149,,,,,HOLD,0.0,-0.0,1.0
2025-06-01 01:00:00+00:00,104433.0,-8.925964533729712,-6.391664957164462,,,,,HOLD,0.0,0.0,1.0
2025-06-01 01:15:00+00:00,104344.4,-17.241746885949397,-8.56168134292145,,,,,HOLD,0.0,-0.0,1.0
2025-06-01 01:30:00+00:00,104170.8,-43.76799969060812,-15.602945012458784,,,,,HOLD,0.0,-0.0,1.0
2025-06-01 01:45:00+00:00,104090.0,-73.03568292595446,-27.08949259515792,,,,,HOLD,0.0,-0.0,1.0
2025-06-01 02:00:00+00:00,103885.8,-118.53340313919762,-45.378274703965864,,,,,HOLD,0.0,-0.0,1.0
2025-06-01 02:15:00+00:00,104117.8,-124.75267399873701,-61.253154562920095,,,,,HOLD,0.0,0.0,1.0
2025-06-01 02:30:00+00:00,104192.0,-119.34569158918748,-72.87166196817358,,,,,HOLD,0.0,0.0,1.0
2025-06-01 02:45:00+00:00,104136.7,-120.2940635092964,-82.35614227639815,,,,,HOLD,0.0,-0.0,1.0
2025-06-01 03:00:00+00:00,104025.3,-132.67631810490275,-92.42017744209906,,,,,HOLD,0.0,-0.0,1.0
2025-06-01 03:15:00+00:00,104105.6,-131.17796965046728,-100.17173588377271,,,,,HOLD,0.0,0.0,1.0
2025-06-01 03:30:00+00:00,104250.0,-111.55397896071372,-102.44818449916092,,,,,HOLD,0.0,0.0,1.0
2025-06-01 03:45:00+00:00,104324.1,-86.53322387018125,-99.26519237336498,,,,,HOLD,0.0,0.0,1.0
2025-06-01 04:00:00+00:00,104356.2,-62.60199227456178,-91.93255235360435,,,,,HOLD,0.0,0.0,1.0
2025-06-01 04:15:00+00:00,104454.9,-31.973079032468377,-79.94065768937716,,,,,HOLD,0.0,0.0,1.0
2025-06-01 04:30:00+00:00,104627.9,12.138471326223225,-61.52483188625708,,,,,HOLD,0.0,0.0,1.0
2025-06-01 04:45:00+00:00,104580.0,40.140115778762265,-41.19184235325322,104657.63597857147,103911.85402142852,104657.63597857147,103911.85402142852,HOLD,0.0,-0.0,1.0
2025-06-01 05:00:00+00:00,104629.9,66.95498011598829,-19.562477859404922,104691.63994361658,103897.08005638342,104691.63994361658,103897.08005638342,HOLD,0.0,0.0,1.0
2025-06-01 05:15:00+00:00,104524.5,74.32993516452552,-0.7839952546188336,104713.70281967682,103894.45718032318,104713.70281967682,103894.45718032318,HOLD,0.0,-0.0,1.0
2025-06-01 05:30:00+00:00,104462.5,71.8300628097204,13.738816358249014,104718.60037447092,103893.76962552908,104718.60037447092,103893.76962552908,HOLD,0.0,-0.0,1.0
2025-06-01 05:45:00+00:00,104482.9,71.467051267653,25.284463340129815,104726.88421878296,103892.54578121704,104726.88421878296,103892.54578121704,HOLD,0.0,0.0,1.0
2025-06-01 06:00:00+00:00,104317.8,50.984311626743875,30.424432997452627,104717.32007097238,103890.58992902763,104717.32007097238,103890.58992902763,HOLD,0.0,-0.0,1.0
2025-06-01 06:15:00+00:00,104267.9,28.855477923571016,30.110641982676306,104713.34301092775,103886.91698907223,104713.34301092775,103886.91698907223,HOLD,0.0,-0.0,1.0
2025-06-01 06:30:00+00:00,104300.0,15.345074673648924,27.157528520870834,104715.53109551375,103897.64890448624,104715.53109551375,103897.64890448624,HOLD,0.0,0.0,1.0
2025-06-01 06:45:00+00:00,104214.3,-5.228519305601367,20.680318955576396,104712.05374188905,103913.55625811094,104712.05374188905,103913.55625811094,HOLD,0.0,-0.0,1.0
2025-06-01 07:00:00+00:00,104271.0,-14.263105673249811,13.691634029811155,104681.06162620144,103983.06837379857,104681.06162620144,103983.06837379857,HOLD,0.0,0.0,1.0
2025-06-01 07:15:00+00:00,104312.0,-16.201447665211163,7.713017690806691,104676.91695723601,104006.63304276398,104676.91695723601,104006.63304276398,HOLD,0.0,0.0,1.0
2025-06-01 07:30:00+00:00,104216.1,-28.74426722311182,0.42156070802298906,104676.12659596039,104009.83340403963,104676.12659596039,104009.83340403963,HOLD,0.0,-0.0,1.0
2025-06-01 07:45:00+00:00,104244.6,-34.66420515778009,-6.595592465137627,104671.32339758077,104025.42660241923,104671.32339758077,104025.42660241923,HOLD,0.0,0.0,1.0
2025-06-01 08:00:00+00:00,104231.0,-40.38399102380208,-13.353272176870519,104651.49515772528,104065.82484227473,104651.49515772528,104065.82484227473,HOLD,0.0,-0.0,1.0
