ts,open,high,low,close,volume
2025-08-31T16:00:00+00:00,0.21849,0.21856,0.21792,0.21806,29844590.0
2025-08-31T16:15:00+00:00,0.21806,0.21808,0.21731,0.21776,18008840.0
2025-08-31T16:30:00+00:00,0.21776,0.21828,0.21736,0.21828,13921810.0
2025-08-31T16:45:00+00:00,0.21828,0.21839,0.2178,0.21794,10771240.0
2025-08-31T17:00:00+00:00,0.21794,0.21801,0.21761,0.21772,9602110.0
2025-08-31T17:15:00+00:00,0.21772,0.21782,0.21691,0.21732,29746590.0
2025-08-31T17:30:00+00:00,0.21733,0.21785,0.21712,0.21782,14413290.0
2025-08-31T17:45:00+00:00,0.21782,0.21791,0.21747,0.21763,11555560.0
2025-08-31T18:00:00+00:00,0.21764,0.21791,0.21747,0.21778,5956920.0
2025-08-31T18:15:00+00:00,0.21778,0.2183,0.21766,0.21817,12685690.0
2025-08-31T18:30:00+00:00,0.21818,0.21848,0.21801,0.21821,15557600.0
2025-08-31T18:45:00+00:00,0.21822,0.21858,0.21821,0.21829,10554200.0
2025-08-31T19:00:00+00:00,0.21829,0.21849,0.21754,0.21766,9958550.0
2025-08-31T19:15:00+00:00,0.21766,0.21783,0.21736,0.2176,8958180.0
2025-08-31T19:30:00+00:00,0.2176,0.21805,0.21755,0.21795,5430350.0
2025-08-31T19:45:00+00:00,0.21793,0.21793,0.2172,0.21729,10104800.0
2025-08-31T20:00:00+00:00,0.21729,0.218,0.21675,0.2178,19302200.0
2025-08-31T20:15:00+00:00,0.21779,0.21796,0.21738,0.21774,8901390.0
2025-08-31T20:30:00+00:00,0.21774,0.21792,0.21729,0.21737,4024820.0
2025-08-31T20:45:00+00:00,0.21737,0.21774,0.21722,0.21767,10181040.0
2025-08-31T21:00:00+00:00,0.21767,0.21767,0.217,0.21746,10347460.0
2025-08-31T21:15:00+00:00,0.21747,0.21799,0.21731,0.21779,8859150.0
2025-08-31T21:30:00+00:00,0.21778,0.21814,0.21752,0.218,6933840.0
2025-08-31T21:45:00+00:00,0.218,0.21803,0.21755,0.21772,3655390.0
2025-08-31T22:00:00+00:00,0.21773,0.2178,0.21692,0.21732,25267250.0
2025-08-31T22:15:00+00:00,0.21733,0.21785,0.21732,0.21757,8753400.0
2025-08-31T22:30:00+00:00,0.21758,0.21759,0.21554,0.21572,55627880.0
2025-08-31T22:45:00+00:00,0.21573,0.21628,0.21535,0.21603,44843940.0
2025-08-31T23:00:00+00:00,0.21602,0.21602,0.21472,0.21535,54920380.0
2025-08-31T23:15:00+00:00,0.21535,0.21536,0.21426,0.21457,58409140.0
2025-08-31T23:30:00+00:00,0.21457,0.2146,0.21312,0.21348,80709920.0
2025-08-31T23:45:00+00:00,0.21348,0.21392,0.21316,0.21361,34874050.0
2025-09-01T00:00:00+00:00,0.2136,0.21379,0.21241,0.213,65869550.0
2025-09-01T00:15:00+00:00,0.21301,0.2135,0.21139,0.21189,86363450.0
2025-09-01T00:30:00+00:00,0.2119,0.21315,0.21086,0.21279,90393500.0
2025-09-01T00:45:00+00:00,0.2128,0.21362,0.21231,0.21273,49557450.0
2025-09-01T01:00:00+00:00,0.21273,0.21323,0.21157,0.21215,51461340.0
2025-09-01T01:15:00+00:00,0.21216,0.21289,0.21159,0.21283,37854280.0
2025-09-01T01:30:00+00:00,0.21283,0.21365,0.21255,0.21356,49062790.0
2025-09-01T01:45:00+00:00,0.21355,0.21401,0.21214,0.21264,48100040.0
2025-09-01T02:00:00+00:00,0.21265,0.21281,0.21132,0.21152,45858160.0
2025-09-01T02:15:00+00:00,0.21152,0.21182,0.20974,0.21089,112973950.0
2025-09-01T02:30:00+00:00,0.21089,0.21093,0.20994,0.21027,56316980.0
2025-09-01T02:45:00+00:00,0.21028,0.21051,0.2087,0.20989,124541350.0
2025-09-01T03:00:00+00:00,0.2099,0.21055,0.209,0.20904,62355240.0
2025-09-01T03:15:00+00:00,0.20904,0.20988,0.20886,0.20959,40672580.0
2025-09-01T03:30:00+00:00,0.2096,0.21019,0.20922,0.20989,36455040.0
2025-09-01T03:45:00+00:00,0.20988,0.21069,0.20961,0.21035,33855000.0
