ts,close,fast,slow,highN,lowN,highN_prev,lowN_prev,signal,pos,ret,equity
2025-01-01 00:00:00+00:00,3339.41,,,,,,,HOLD,0.0,0.0,1.0
2025-01-01 00:05:00+00:00,3341.72,,,,,,,HOLD,0.0,0.0,1.0
2025-01-01 00:10:00+00:00,3347.4,,,,,,,HOLD,0.0,0.0,1.0
2025-01-01 00:15:00+00:00,3350.27,,,,,,,HOLD,0.0,0.0,1.0
2025-01-01 00:20:00+00:00,3348.58,,,,,,,HOLD,0.0,-0.0,1.0
2025-01-01 00:25:00+00:00,3348.62,,,,,,,HOLD,0.0,0.0,1.0
2025-01-01 00:30:00+00:00,3356.27,,,,,,,HOLD,0.0,0.0,1.0
2025-01-01 00:35:00+00:00,3359.41,,,,,,,HOLD,0.0,0.0,1.0
2025-01-01 00:40:00+00:00,3355.36,,,,,,,HOLD,0.0,-0.0,1.0
2025-01-01 00:45:00+00:00,3355.63,3350.267,,,,,,HOLD,0.0,0.0,1.0
2025-01-01 00:50:00+00:00,3360.32,3352.358,,,,,,HOLD,0.0,0.0,1.0
2025-01-01 00:55:00+00:00,3362.9,3354.476,,,,,,HOLD,0.0,0.0,1.0
2025-01-01 01:00:00+00:00,3358.42,3355.578,,,,,,HOLD,0.0,-0.0,1.0
2025-01-01 01:05:00+00:00,3359.19,3356.47,,,,,,HOLD,0.0,0.0,1.0
2025-01-01 01:10:00+00:00,3359.62,3357.5739999999996,,,,,,HOLD,0.0,0.0,1.0
2025-01-01 01:15:00+00:00,3353.38,3358.05,,,,,,HOLD,0.0,-0.0,1.0
2025-01-01 01:20:00+00:00,3353.35,3357.7580000000003,,,,,,HOLD,0.0,-0.0,1.0
2025-01-01 01:25:00+00:00,3351.78,3356.995,,,,,,HOLD,0.0,-0.0,1.0
2025-01-01 01:30:00+00:00,3355.12,3356.971,,,,,,HOLD,0.0,0.0,1.0
2025-01-01 01:35:00+00:00,3353.63,3356.7709999999997,,3362.9,3339.41,,,HOLD,0.0,-0.0,1.0
2025-01-01 01:40:00+00:00,3351.83,3355.922,,3362.9,3341.72,3362.9,3339.41,HOLD,0.0,-0.0,1.0
