ts,open,high,low,close,volume
2025-08-31T16:00:00+00:00,4482.6,4485.0,4472.16,4474.0,24213.695
2025-08-31T16:15:00+00:00,4473.99,4474.5,4460.9,4466.76,22324.282
2025-08-31T16:30:00+00:00,4466.75,4469.4,4457.33,4468.56,38081.681
2025-08-31T16:45:00+00:00,4468.56,4474.59,4463.41,4469.17,18948.057
2025-08-31T17:00:00+00:00,4469.16,4479.88,4466.24,4479.87,12902.009
2025-08-31T17:15:00+00:00,4479.87,4485.58,4471.28,4480.91,18035.578
2025-08-31T17:30:00+00:00,4480.9,4485.42,4475.0,4481.4,16906.934
2025-08-31T17:45:00+00:00,4481.39,4484.38,4473.65,4474.36,9401.927
2025-08-31T18:00:00+00:00,4474.37,4481.52,4470.0,4480.82,8613.892
2025-08-31T18:15:00+00:00,4480.82,4485.58,4475.45,4476.29,12713.8
2025-08-31T18:30:00+00:00,4476.28,4484.91,4475.03,4479.13,7947.747
2025-08-31T18:45:00+00:00,4479.13,4488.88,4478.8,4486.74,12975.468
2025-08-31T19:00:00+00:00,4486.73,4487.54,4470.91,4471.95,11042.149
2025-08-31T19:15:00+00:00,4471.95,4476.0,4466.41,4467.05,11327.141
2025-08-31T19:30:00+00:00,4467.05,4476.89,4466.45,4473.86,7825.338
2025-08-31T19:45:00+00:00,4473.86,4473.86,4451.38,4453.01,23371.553
2025-08-31T20:00:00+00:00,4453.01,4459.81,4442.0,4458.03,30104.596
2025-08-31T20:15:00+00:00,4458.03,4459.88,4448.33,4456.73,10268.401
2025-08-31T20:30:00+00:00,4456.72,4459.88,4447.4,4451.05,6575.087
2025-08-31T20:45:00+00:00,4451.04,4455.95,4448.94,4452.44,6469.266
2025-08-31T21:00:00+00:00,4452.44,4463.24,4447.66,4463.24,8908.751
2025-08-31T21:15:00+00:00,4463.24,4463.81,4455.8,4458.96,5619.692
2025-08-31T21:30:00+00:00,4458.94,4475.19,4457.54,4473.53,9205.169
2025-08-31T21:45:00+00:00,4473.54,4473.59,4464.0,4467.97,6527.582
2025-08-31T22:00:00+00:00,4467.97,4470.0,4450.03,4464.85,20322.509
2025-08-31T22:15:00+00:00,4464.85,4471.96,4464.72,4466.2,7858.272
2025-08-31T22:30:00+00:00,4466.19,4466.19,4438.44,4440.32,23164.652
2025-08-31T22:45:00+00:00,4440.32,4444.33,4431.01,4442.58,35111.218
2025-08-31T23:00:00+00:00,4442.57,4442.88,4421.01,4432.44,33746.201
2025-08-31T23:15:00+00:00,4432.45,4432.45,4401.28,4405.7,63106.849
